
running 5676 tests
test active_sessions::tests::corrupt_file_recovers ... ok
test active_sessions::tests::try_unregister_skips_if_locked ... ok
test active_sessions::tests::register_is_idempotent ... ok
test agent::activity::tests::idle_by_default ... ok
test agent::activity::tests::flush_with_no_sessions_is_noop ... ok
test active_sessions::tests::collect_crashed_partitions_by_pid_liveness ... ok
test agent::activity::tests::live_actor_counts_busy_until_it_exits ... ok
test agent::activity::tests::flush_gives_up_after_grace_when_actor_hangs ... ok
test agent::activity::tests::subagent_gauge_marks_busy ... ok
test agent::activity::tests::running_turn_marks_busy ... ok
test active_sessions::tests::concurrent_registers_no_corruption ... ok
test agent::activity::tests::pending_interaction_marks_busy ... ok
test agent::activity::tests::flush_awaits_both_channels_when_id_is_reused ... ok
test agent::activity::tests::flush_grace_bounds_total_delay_across_sessions ... ok
test agent::activity::tests::flush_sends_shutdown_and_waits_for_actor_exit ... ok
test agent::activity::tests::flush_signals_sessions_that_appear_mid_flush ... ok
test agent::app::tests::auto_update_cancels_when_update_available_and_agent_idle ... ok
test agent::app::tests::auto_update_sets_shutdown_reason_auto_update ... ok
test agent::app::tests::auto_update_stops_when_externally_cancelled ... ok
test agent::app::tests::internal_reload_request_line_uses_wire_ext_prefix ... ok
test agent::app::tests::keep_fresher_sibling_refreshed_token ... ok
test agent::app::tests::auto_update_cancels_during_hanging_check_fn ... ok
test agent::app::tests::seed_over_staler_disk_entry ... ok
test agent::app::tests::seed_when_manager_empty ... ok
test agent::app::tests::skip_when_same_token_already_held ... ok
test agent::auth_method::tests::after_cached_token_unavailable_fails_closed_when_pinned ... ok
test agent::auth_method::tests::after_cached_token_unavailable_falls_to_grok_com_without_api_key ... ok
test agent::auth_method::tests::after_cached_token_unavailable_prefers_api_key_when_advertiseable ... ok
test agent::auth_method::tests::auth_method_kind_classifier_matrix ... ok
test agent::auth_method::tests::auth_provider_command_sets_external_provider_meta ... ok
test agent::auth_method::tests::byok_with_cached_token_keeps_xai_api_key_first ... ok
test agent::app::tests::auto_update_cancels_after_agent_becomes_idle ... ok
test agent::app::tests::eager_relay_connects_without_any_ipc_client ... ok
test agent::auth_method::tests::enterprise_byok_first_method_is_xai_api_key ... ok
test agent::auth_method::tests::enterprise_oidc_replaces_grok_com_but_xai_api_key_still_first ... ok
test agent::auth_method::tests::fresh_user_only_advertises_grok_com_and_requires_login ... ok
test agent::app::tests::auto_update_flushes_sessions_before_cancel ... ok
test agent::app::tests::auto_update_defers_when_agent_activity_busy ... ok
test agent::app::tests::auto_update_defers_when_agent_busy ... ok
test agent::app::tests::auto_update_no_cancel_when_no_update_available ... ok
test agent::app::tests::auto_update_calls_check_fn_multiple_times ... ok
test agent::auth_method::tests::pin_api_key_with_key_only_advertises_api_key ... ok
test agent::auth_method::tests::pin_api_key_without_key_fails_closed_even_with_session ... ok
test agent::auth_method::tests::pin_oidc_with_session_hides_api_key ... ok
test agent::auth_method::tests::pin_oidc_without_session_is_interactive_only ... ok
test agent::auth_method::tests::session_only_user_first_method_is_cached_token ... ok
test agent::chat_modes::tests::default_outside_filtered_set_falls_back_to_first_available ... ok
test agent::chat_modes::tests::empty_default_falls_back_to_first ... ok
test agent::chat_modes::tests::filters_to_available_modes ... ok
test agent::chat_modes::tests::maps_fields_and_meta ... ok
test agent::chat_modes::tests::name_falls_back_to_id_when_title_blank ... ok
test agent::chat_modes::tests::no_available_modes_yields_empty_current ... ok
test agent::config::tests::acp_model_meta_always_has_context_window ... ok
test agent::config::tests::acp_model_meta_always_includes_agent_type ... ok
test agent::config::tests::acp_model_meta_derives_first_option_when_no_default ... ok
test agent::config::tests::acp_model_meta_emits_reasoning_effort_when_supported ... ok
test agent::config::tests::acp_model_meta_emits_reasoning_efforts_and_derives_legacy ... ok
test agent::config::tests::acp_model_meta_emits_redacted_truth_binding ... ok
test agent::config::tests::acp_model_meta_includes_agent_type_when_present ... ok
test agent::config::tests::acp_model_meta_keeps_explicit_scalar_when_list_present ... ok
test agent::config::tests::acp_model_meta_omits_reasoning_efforts_when_list_empty ... ok
test agent::config::tests::acp_model_meta_omits_reasoning_when_unsupported ... ok
test agent::config::tests::acp_model_meta_supports_without_default_effort ... ok
test agent::app::tests::auto_update_forces_shutdown_after_deferral_limit ... ok
test agent::app::tests::on_demand_relay_waits_for_headless_demand_signal ... ok
test agent::auth_method::tests::disable_api_key_auth_suppresses_xai_api_key_method has been running for over 60 seconds
test agent::auth_method::tests::enterprise_byok_config_does_not_require_login has been running for over 60 seconds
test agent::auth_method::tests::global_external_api_key_advertises_xai_api_key_first has been running for over 60 seconds
test agent::auth_method::tests::grok_login_legacy_token_does_not_require_login has been running for over 60 seconds
